TIME (HH:MM:SS),DATE (MM/DD/YYYY),SPCOND uS/CM,ODO % SAT,ODO MG/L,PH,TEMP C
10:09:01 AM,7/20/2024,0.9,97.1,8.79,7.45,20.237
10:04:01 AM,7/20/2024,6,97.2,8.88,7.68,19.771
9:59:01 AM,7/20/2024,80.8,82.1,7.19,7.24,21.904
9:54:01 AM,7/20/2024,80.8,81.5,7.14,7.23,21.88
9:49:01 AM,7/20/2024,80.8,81.6,7.15,7.23,21.879
9:44:01 AM,7/20/2024,80.8,81.5,7.14,7.23,21.874
9:39:01 AM,7/20/2024,80.8,80.6,7.07,7.22,21.861
9:34:01 AM,7/20/2024,80.8,81.2,7.12,7.23,21.861
9:29:01 AM,7/20/2024,80.8,80.6,7.07,7.22,21.853
9:24:01 AM,7/20/2024,80.8,80.8,7.08,7.22,21.85
9:19:01 AM,7/20/2024,80.8,80.3,7.04,7.22,21.846
9:14:01 AM,7/20/2024,80.8,80.5,7.06,7.21,21.847
9:09:01 AM,7/20/2024,80.8,80.2,7.03,7.21,21.843
9:04:01 AM,7/20/2024,80.8,80,7.02,7.21,21.835
8:59:01 AM,7/20/2024,80.8,79.8,7,7.21,21.827
8:54:01 AM,7/20/2024,80.8,79.5,6.98,7.21,21.826
8:49:01 AM,7/20/2024,80.8,79.1,6.94,7.2,21.82
8:44:01 AM,7/20/2024,80.8,78.9,6.92,7.2,21.816
8:39:01 AM,7/20/2024,80.8,78.8,6.91,7.2,21.808
8:34:01 AM,7/20/2024,80.8,78.6,6.9,7.19,21.801
8:29:01 AM,7/20/2024,80.8,78.8,6.91,7.19,21.796
8:24:01 AM,7/20/2024,80.8,78.6,6.9,7.19,21.801
8:19:01 AM,7/20/2024,80.8,78.4,6.88,7.19,21.808
8:14:01 AM,7/20/2024,80.8,78.1,6.85,7.18,21.808
8:09:01 AM,7/20/2024,80.8,77.7,6.82,7.18,21.802
8:04:01 AM,7/20/2024,80.8,77.6,6.81,7.17,21.795
7:59:01 AM,7/20/2024,80.8,77.3,6.79,7.17,21.803
7:54:01 AM,7/20/2024,80.8,77.3,6.79,7.17,21.807
7:49:01 AM,7/20/2024,80.8,77.3,6.78,7.17,21.801
7:44:01 AM,7/20/2024,80.8,77.3,6.78,7.17,21.814
7:39:01 AM,7/20/2024,80.8,77.1,6.77,7.17,21.814
7:34:01 AM,7/20/2024,80.8,76.9,6.75,7.17,21.821
7:29:01 AM,7/20/2024,80.9,77.1,6.76,7.17,21.817
7:24:01 AM,7/20/2024,80.9,77.1,6.76,7.17,21.819
7:19:01 AM,7/20/2024,80.9,76.9,6.74,7.17,21.836
7:14:01 AM,7/20/2024,80.9,76.7,6.73,7.16,21.846
7:09:01 AM,7/20/2024,80.9,76.9,6.74,7.17,21.847
7:04:01 AM,7/20/2024,80.9,77,6.75,7.17,21.855
6:59:01 AM,7/20/2024,80.9,76.7,6.72,7.16,21.865
6:54:01 AM,7/20/2024,80.9,77.2,6.77,7.17,21.848
6:49:01 AM,7/20/2024,80.8,77.4,6.79,7.17,21.843
6:44:01 AM,7/20/2024,80.9,76.9,6.74,7.17,21.875
6:39:01 AM,7/20/2024,80.9,77.2,6.77,7.18,21.89
6:34:01 AM,7/20/2024,80.9,77.3,6.77,7.17,21.898
6:29:01 AM,7/20/2024,80.9,77,6.75,7.17,21.902
6:24:01 AM,7/20/2024,80.9,76.8,6.72,7.17,21.923
6:19:01 AM,7/20/2024,80.8,77.2,6.76,7.17,21.918
6:14:01 AM,7/20/2024,80.9,77.3,6.77,7.17,21.911
6:09:01 AM,7/20/2024,80.9,77.4,6.78,7.18,21.92
6:04:01 AM,7/20/2024,80.8,77.6,6.79,7.17,21.929
5:59:01 AM,7/20/2024,80.9,77.6,6.8,7.18,21.931
5:54:01 AM,7/20/2024,80.9,78,6.83,7.18,21.932
5:49:01 AM,7/20/2024,80.9,77.7,6.81,7.19,21.937
5:44:01 AM,7/20/2024,80.9,77.8,6.81,7.2,21.952
5:39:01 AM,7/20/2024,80.9,78.1,6.84,7.2,21.955
5:34:01 AM,7/20/2024,80.9,78.4,6.86,7.21,21.941
5:29:01 AM,7/20/2024,80.9,78.2,6.84,7.19,21.976
5:24:01 AM,7/20/2024,80.9,78.3,6.84,7.2,21.978
5:19:01 AM,7/20/2024,80.9,78.6,6.88,7.2,21.994
5:14:01 AM,7/20/2024,80.9,79,6.9,7.2,21.999
5:09:01 AM,7/20/2024,80.9,79.3,6.93,7.21,21.998
5:04:01 AM,7/20/2024,80.9,79.7,6.97,7.22,22.005
4:59:01 AM,7/20/2024,80.8,79.9,6.98,7.23,22.012
4:54:01 AM,7/20/2024,80.9,80,6.99,7.23,22.018
4:49:01 AM,7/20/2024,80.8,80.2,7.01,7.22,22.016
4:44:01 AM,7/20/2024,80.8,80.3,7.02,7.22,22.034
4:39:01 AM,7/20/2024,80.8,80.5,7.03,7.23,22.033
4:34:01 AM,7/20/2024,80.8,80.4,7.02,7.22,22.047
4:29:01 AM,7/20/2024,80.8,80.5,7.03,7.22,22.053
4:24:01 AM,7/20/2024,80.8,80.3,7.01,7.22,22.056
4:19:01 AM,7/20/2024,80.9,80.2,7.01,7.21,22.059
4:14:01 AM,7/20/2024,80.9,80.3,7.01,7.22,22.065
4:09:01 AM,7/20/2024,80.9,80.3,7.01,7.22,22.057
4:04:01 AM,7/20/2024,80.9,80.4,7.02,7.22,22.075
3:59:01 AM,7/20/2024,80.7,80.7,7.05,7.23,22.08
3:54:01 AM,7/20/2024,80.8,81,7.07,7.22,22.073
3:49:01 AM,7/20/2024,80.8,80.9,7.06,7.22,22.069
3:44:01 AM,7/20/2024,80.8,80.5,7.03,7.22,22.078
3:39:01 AM,7/20/2024,80.8,80.8,7.06,7.22,22.076
